,Selling_Price
8,8.75
12,7.5
16,7.25
18,3.25
20,2.85
28,1.95
30,3.1
34,5.5
41,2.55
45,7.5
50,14.9
51,23.0
54,2.75
56,4.5
58,4.1
64,33.0
65,4.75
69,14.25
74,4.9
75,3.95
85,2.5
86,35.0
87,5.9
93,23.0
94,4.0
100,1.75
112,1.15
117,1.1
119,1.05
122,1.05
127,0.75
128,0.8
129,0.78
131,0.75
133,0.72
136,0.65
142,0.6
143,0.6
144,0.6
146,0.55
147,0.55
152,0.5
154,0.5
155,0.48
157,0.48
161,0.45
164,0.45
174,0.38
178,0.35
184,0.25
200,0.1
201,3.25
203,2.95
207,5.15
212,11.25
213,2.9
217,3.15
220,3.5
222,6.0
223,8.25
225,2.7
233,3.9
238,4.8
241,4.75
242,4.4
245,5.2
247,5.95
256,10.25
258,8.4
263,6.6
265,6.5
267,8.35
275,10.9
282,8.25
284,3.5
285,7.4
289,10.11
297,4.0
