,Year,Selling_Price,Present_Price,Kms_Driven,Owner
0,2014,3.35,5.59,27000,0
1,2013,4.75,9.54,43000,0
3,2011,2.85,4.15,5200,0
4,2014,4.6,6.87,42450,0
7,2015,6.5,8.61,33429,0
10,2017,2.85,3.6,2135,0
11,2015,6.85,10.38,51000,0
12,2015,7.5,9.94,15000,0
14,2009,2.25,7.21,77427,0
15,2016,7.75,10.79,43000,0
16,2015,7.25,10.79,41678,0
18,2015,3.25,5.09,35500,0
19,2010,2.65,7.98,41442,0
21,2017,4.9,5.71,2400,0
23,2014,2.5,3.46,45280,0
24,2013,2.9,4.41,56879,0
25,2011,3.0,4.99,20000,0
26,2013,4.15,5.87,55138,0
27,2017,6.0,6.49,16200,0
28,2010,1.95,3.95,44542,0
30,2012,3.1,5.98,51439,0
33,2014,6.0,9.95,45000,0
34,2014,5.5,8.06,45000,0
35,2011,2.95,7.74,49998,0
36,2015,4.65,7.2,48767,0
37,2003,0.35,2.28,127000,0
39,2003,2.25,7.98,62000,0
40,2016,5.85,7.87,24524,0
41,2014,2.55,3.98,46706,0
42,2008,1.95,7.15,58000,0
43,2014,5.5,8.06,45780,0
44,2012,1.25,2.69,50000,0
45,2014,7.5,12.04,15000,0
47,2006,1.05,4.15,65000,0
49,2017,7.75,9.29,37000,0
51,2015,23.0,30.61,40000,0
53,2013,16.0,30.61,135000,0
54,2005,2.75,10.21,90000,0
56,2015,4.5,7.27,40534,0
57,2010,4.75,18.54,50000,0
58,2014,4.1,6.8,39485,1
59,2014,19.99,35.96,41000,0
60,2013,6.95,18.61,40001,0
61,2015,4.5,7.7,40588,0
62,2014,18.75,35.96,78000,0
64,2017,33.0,36.23,6000,0
66,2017,19.75,23.15,11000,0
67,2010,9.25,20.45,59000,0
68,2011,4.35,13.74,88000,0
70,2014,3.95,6.76,71000,0
71,2011,4.5,12.48,45000,0
73,2011,2.65,5.71,43000,0
74,2014,4.9,8.93,83000,0
75,2015,3.95,6.8,36000,0
76,2013,5.5,14.68,72000,0
77,2004,1.5,12.35,135154,0
79,2012,14.5,30.61,89000,0
81,2015,4.75,7.85,40000,0
82,2017,23.0,25.39,15000,0
83,2015,12.5,13.46,38000,0
84,2005,3.49,13.46,197176,0
85,2006,2.5,23.73,142000,3
87,2012,5.9,13.74,56000,0
88,2013,3.45,6.05,47000,0
89,2014,4.75,6.76,40000,0
90,2009,3.8,18.61,62000,0
91,2014,11.25,16.09,58242,0
92,2005,3.51,13.7,75000,0
93,2015,23.0,30.61,40000,0
94,2008,4.0,22.78,89000,0
96,2016,20.75,25.39,29000,0
97,2017,17.0,18.64,8700,0
98,2013,7.05,18.61,45000,0
99,2010,9.65,20.45,50024,0
100,2016,1.75,1.9,3000,0
101,2017,1.7,1.82,1400,0
103,2017,1.45,1.6,1200,0
104,2017,1.35,1.47,4100,0
105,2015,1.35,2.37,21700,0
106,2014,1.35,3.45,16500,1
107,2013,1.25,1.5,15000,0
109,2017,1.2,1.47,11000,0
110,2016,1.2,1.78,6000,0
111,2016,1.15,1.5,8700,0
112,2014,1.15,2.4,7000,0
114,2015,1.15,1.47,17000,0
115,2015,1.11,1.47,17500,0
116,2013,1.1,1.47,33000,0
117,2015,1.1,1.9,14000,0
118,2015,1.1,1.47,26000,0
120,2016,1.05,1.26,5700,0
124,2012,0.95,1.75,11500,0
125,2009,0.9,1.75,40000,0
126,2017,0.9,0.95,1300,0
127,2016,0.75,0.8,7000,0
128,2017,0.8,0.87,3000,0
129,2017,0.78,0.84,5000,0
130,2017,0.75,0.87,11000,0
132,2017,0.75,0.95,3500,0
133,2016,0.72,0.95,500,0
134,2017,0.65,0.81,11800,0
136,2014,0.65,1.2,23500,0
137,2013,0.65,0.787,16000,0
138,2016,0.6,0.87,15000,0
139,2015,0.6,0.95,16600,0
140,2013,0.6,1.2,32000,0
143,2016,0.6,0.84,25000,0
144,2014,0.6,0.99,25000,0
145,2012,0.6,0.81,19000,0
147,2015,0.55,0.84,58000,0
148,2010,0.52,0.94,45000,0
149,2016,0.51,0.94,24000,0
150,2011,0.5,0.826,6000,0
151,2016,0.5,0.55,31000,0
152,2012,0.5,0.99,13000,0
155,2017,0.48,0.51,4300,0
156,2017,0.48,0.52,15000,0
157,2015,0.48,0.84,23000,0
158,2017,0.48,0.54,8600,0
160,2011,0.45,0.95,24000,0
161,2014,0.45,0.826,23000,0
164,2016,0.45,0.54,14000,0
165,2016,0.45,0.54,500,0
166,2016,0.45,0.55,1000,0
167,2014,0.42,0.81,42000,0
169,2015,0.4,0.54,14000,0
170,2012,0.4,0.83,5500,0
171,2015,0.4,0.55,6700,0
172,2014,0.4,0.64,13700,0
173,2017,0.4,0.51,1300,0
175,2011,0.38,0.787,75000,0
176,2011,0.35,1.05,30000,0
177,2016,0.35,0.57,24000,0
178,2014,0.35,0.52,19000,0
180,2012,0.3,0.51,60000,0
181,2016,0.3,0.48,50000,0
182,2013,0.3,0.58,30000,0
183,2013,0.27,0.47,21000,0
184,2008,0.25,0.75,26000,1
185,2008,0.25,0.58,1900,0
186,2010,0.25,0.52,22000,0
187,2013,0.25,0.51,32000,0
188,2013,0.25,0.57,18000,0
189,2005,0.2,0.57,55000,0
191,2012,0.2,0.57,25000,1
192,2007,0.2,0.75,49000,1
193,2013,0.2,0.65,24000,1
194,2008,0.2,0.787,50000,0
197,2010,0.16,0.51,33000,0
199,2007,0.12,0.58,53000,0
200,2006,0.1,0.75,92233,0
201,2010,3.25,6.79,58000,1
202,2015,4.4,5.7,28200,0
203,2011,2.95,4.6,53460,0
204,2015,2.75,4.43,28282,0
205,2016,5.25,5.7,3493,1
206,2017,5.75,7.13,12479,0
208,2017,7.9,8.1,3435,0
209,2015,4.85,5.7,21125,0
211,2015,11.75,14.79,43535,0
212,2016,11.25,13.6,22671,0
214,2017,5.25,5.7,20114,0
215,2012,4.5,9.4,36100,0
216,2016,2.9,4.43,12500,0
217,2016,3.15,4.43,15000,0
218,2014,6.45,9.4,45078,0
220,2017,3.5,4.43,38488,0
221,2013,4.5,6.79,32000,0
222,2014,6.0,7.6,77632,0
223,2015,8.25,9.4,61381,0
224,2013,5.11,9.4,36198,0
225,2011,2.7,4.6,22517,0
226,2015,5.25,5.7,24678,0
227,2011,2.55,4.43,57000,0
229,2012,3.1,6.79,52132,0
231,2017,9.25,9.4,15001,0
232,2015,11.45,14.79,12900,0
234,2015,5.5,5.7,4492,0
236,2016,3.1,4.43,11849,0
238,2013,4.8,9.4,60241,0
239,2012,2.0,4.43,23709,0
240,2012,5.35,9.4,32322,0
241,2015,4.75,7.13,35866,1
242,2014,4.4,7.13,34000,0
243,2016,6.25,7.6,7000,0
245,2012,5.2,9.4,71000,0
247,2015,5.95,9.4,36000,0
248,2013,4.0,4.6,30000,0
249,2016,5.25,7.6,17000,0
250,2016,12.9,13.6,35934,0
251,2013,5.0,9.9,56701,0
252,2015,5.4,6.82,31427,0
253,2014,7.2,9.9,48000,0
255,2012,3.0,5.35,53675,0
256,2016,10.25,13.6,49562,0
257,2015,8.5,13.6,40324,0
258,2015,8.4,13.6,25000,0
260,2016,9.15,13.6,29223,0
261,2016,5.5,5.97,5600,0
263,2016,6.6,7.7,16002,0
264,2015,4.0,7.0,40026,0
266,2014,3.65,7.0,35000,0
268,2017,4.8,5.8,19000,0
269,2015,6.7,10.0,18828,0
270,2011,4.1,10.0,69341,0
272,2015,7.5,10.0,27600,0
273,2010,2.25,7.5,61203,0
274,2014,5.3,6.8,16500,0
275,2016,10.9,13.6,30753,0
276,2015,8.65,13.6,24800,0
277,2015,9.7,13.6,21780,0
278,2016,6.0,8.4,4000,0
279,2014,6.25,13.6,40126,0
281,2006,2.1,7.6,50456,0
282,2014,8.25,14.0,63000,0
283,2016,8.99,11.8,9010,0
284,2013,3.5,5.9,9800,0
286,2016,5.65,7.9,28569,0
287,2015,5.75,7.5,44000,0
288,2015,8.4,13.6,34000,0
291,2015,5.4,6.1,31427,0
292,2016,6.4,8.4,12000,0
295,2015,8.55,13.09,60076,0
296,2016,9.5,11.6,33988,0
298,2009,3.35,11.0,87934,0
300,2016,5.3,5.9,5464,0
