,Present_Price
0,5.59
1,9.54
3,4.15
4,6.87
7,8.61
10,3.6
11,10.38
12,9.94
14,7.21
15,10.79
16,10.79
18,5.09
19,7.98
21,5.71
23,3.46
24,4.41
25,4.99
26,5.87
27,6.49
28,3.95
30,5.98
33,9.95
34,8.06
35,7.74
36,7.2
37,2.28
39,7.98
40,7.87
41,3.98
42,7.15
43,8.06
44,2.69
45,12.04
47,4.15
49,9.29
51,30.61
53,30.61
54,10.21
56,7.27
57,18.54
58,6.8
59,35.96
60,18.61
61,7.7
62,35.96
64,36.23
66,23.15
67,20.45
68,13.74
70,6.76
71,12.48
73,5.71
74,8.93
75,6.8
76,14.68
77,12.35
79,30.61
81,7.85
82,25.39
83,13.46
84,13.46
85,23.73
87,13.74
88,6.05
89,6.76
90,18.61
91,16.09
92,13.7
93,30.61
94,22.78
96,25.39
97,18.64
98,18.61
99,20.45
100,1.9
101,1.82
103,1.6
104,1.47
105,2.37
106,3.45
107,1.5
109,1.47
110,1.78
111,1.5
112,2.4
114,1.47
115,1.47
116,1.47
117,1.9
118,1.47
120,1.26
124,1.75
125,1.75
126,0.95
127,0.8
128,0.87
129,0.84
130,0.87
132,0.95
133,0.95
134,0.81
136,1.2
137,0.787
138,0.87
139,0.95
140,1.2
143,0.84
144,0.99
145,0.81
147,0.84
148,0.94
149,0.94
150,0.826
151,0.55
152,0.99
155,0.51
156,0.52
157,0.84
158,0.54
160,0.95
161,0.826
164,0.54
165,0.54
166,0.55
167,0.81
169,0.54
170,0.83
171,0.55
172,0.64
173,0.51
175,0.787
176,1.05
177,0.57
178,0.52
180,0.51
181,0.48
182,0.58
183,0.47
184,0.75
185,0.58
186,0.52
187,0.51
188,0.57
189,0.57
191,0.57
192,0.75
193,0.65
194,0.787
197,0.51
199,0.58
200,0.75
201,6.79
202,5.7
203,4.6
204,4.43
205,5.7
206,7.13
208,8.1
209,5.7
211,14.79
212,13.6
214,5.7
215,9.4
216,4.43
217,4.43
218,9.4
220,4.43
221,6.79
222,7.6
223,9.4
224,9.4
225,4.6
226,5.7
227,4.43
229,6.79
231,9.4
232,14.79
234,5.7
236,4.43
238,9.4
239,4.43
240,9.4
241,7.13
242,7.13
243,7.6
245,9.4
247,9.4
248,4.6
249,7.6
250,13.6
251,9.9
252,6.82
253,9.9
255,5.35
256,13.6
257,13.6
258,13.6
260,13.6
261,5.97
263,7.7
264,7.0
266,7.0
268,5.8
269,10.0
270,10.0
272,10.0
273,7.5
274,6.8
275,13.6
276,13.6
277,13.6
278,8.4
279,13.6
281,7.6
282,14.0
283,11.8
284,5.9
286,7.9
287,7.5
288,13.6
291,6.1
292,8.4
295,13.09
296,11.6
298,11.0
300,5.9
