,Present_Price
4,6.87
7,8.61
12,9.94
13,7.71
20,3.95
29,10.38
33,9.95
41,3.98
47,4.15
54,10.21
61,7.7
63,35.96
64,36.23
67,20.45
69,20.91
72,18.61
76,14.68
81,7.85
82,25.39
84,13.46
92,13.7
95,18.61
104,1.47
107,1.5
116,1.47
119,1.9
121,1.5
122,1.17
125,1.75
128,0.87
130,0.87
131,0.82
142,0.84
144,0.99
145,0.81
147,0.84
152,0.99
159,0.51
160,0.95
162,0.99
168,0.73
189,0.57
193,0.65
194,0.787
201,6.79
205,5.7
211,14.79
214,5.7
224,9.4
225,4.6
226,5.7
227,4.43
230,9.4
239,4.43
247,9.4
249,7.6
251,9.9
254,9.9
257,13.6
258,13.6
269,10.0
271,10.0
279,13.6
281,7.6
292,8.4
295,13.09
299,12.5
