,Kms_Driven
8,20273
16,41678
18,35500
19,41442
21,2400
22,50000
27,16200
32,39000
36,48767
41,46706
42,58000
53,135000
55,70000
56,40534
60,40001
63,47000
65,45000
78,80000
91,58242
92,75000
93,40000
94,89000
95,72000
97,8700
98,45000
100,3000
102,4000
111,8700
112,7000
113,35000
114,17000
115,17500
121,6900
127,7000
129,5000
130,11000
137,16000
138,15000
148,45000
149,24000
150,6000
154,8000
158,8600
159,4000
160,24000
161,23000
162,14500
170,5500
178,19000
184,26000
185,1900
197,33000
202,28200
205,3493
207,34797
208,3435
212,22671
215,36100
220,38488
226,24678
230,45000
231,15001
232,12900
233,53000
248,30000
250,35934
262,40023
270,69341
279,40126
280,14465
283,9010
285,15059
286,28569
295,60076
300,5464
