,Kms_Driven
0,27000
1,43000
2,6900
3,5200
4,42450
5,2071
6,18796
7,33429
9,42367
10,2135
11,51000
12,15000
13,26000
14,77427
15,43000
17,43000
20,25000
23,45280
24,56879
25,20000
26,55138
28,44542
29,45000
30,51439
31,54200
33,45000
34,45000
35,49998
37,127000
38,10079
39,62000
40,24524
43,45780
44,50000
45,15000
46,64532
47,65000
48,25870
49,37000
50,104707
51,40000
52,15000
54,90000
57,50000
58,39485
59,41000
61,40588
62,78000
64,6000
66,11000
67,59000
68,88000
69,12000
70,71000
71,45000
72,56001
73,43000
74,83000
75,36000
76,72000
77,135154
79,89000
80,23000
81,40000
82,15000
83,38000
84,197176
85,142000
86,78000
87,56000
88,47000
89,40000
90,62000
96,29000
99,50024
101,1400
103,1200
104,4100
105,21700
106,16500
107,15000
108,18000
109,11000
110,6000
116,33000
117,14000
118,26000
119,5400
120,5700
122,6000
123,46500
124,11500
125,40000
126,1300
128,3000
131,18000
132,3500
133,500
134,11800
135,5000
136,23500
139,16600
140,32000
141,20000
142,29000
143,25000
144,25000
145,19000
146,15000
147,58000
151,31000
152,13000
153,45000
155,4300
156,15000
157,23000
163,27000
164,14000
165,500
166,1000
167,42000
168,12000
169,14000
171,6700
172,13700
173,1300
174,38600
175,75000
176,30000
177,24000
179,213000
180,60000
181,50000
182,30000
183,21000
186,22000
187,32000
188,18000
189,55000
190,60000
191,25000
192,49000
193,24000
194,50000
195,35000
196,500000
198,35000
199,53000
200,92233
201,58000
203,53460
204,28282
206,12479
209,21125
210,35775
211,43535
213,31604
214,20114
216,12500
217,15000
218,45078
219,36000
221,32000
222,77632
223,61381
224,36198
225,22517
227,57000
228,60000
229,52132
234,4492
235,15141
236,11849
237,68000
238,60241
239,23709
240,32322
241,35866
242,34000
243,7000
244,49000
245,71000
246,35000
247,36000
249,17000
251,56701
252,31427
253,48000
254,54242
255,53675
256,49562
257,40324
258,25000
259,36054
260,29223
261,5600
263,16002
264,40026
265,21200
266,35000
267,19434
268,19000
269,18828
271,69562
272,27600
273,61203
274,16500
275,30753
276,24800
277,21780
278,4000
281,50456
282,63000
284,9800
287,44000
288,34000
289,10980
290,19000
291,31427
292,12000
293,38000
294,33019
296,33988
297,60000
298,87934
299,9000
