,Year,Selling_Price,Present_Price,Kms_Driven,Owner
3,2011,2.85,4.15,5200,0
4,2014,4.6,6.87,42450,0
5,2018,9.25,9.83,2071,0
6,2015,6.75,8.12,18796,0
18,2015,3.25,5.09,35500,0
22,2011,4.4,8.01,50000,0
29,2015,7.45,10.38,45000,0
30,2012,3.1,5.98,51439,0
33,2014,6.0,9.95,45000,0
34,2014,5.5,8.06,45000,0
35,2011,2.95,7.74,49998,0
53,2013,16.0,30.61,135000,0
55,2009,3.6,15.04,70000,0
63,2015,23.5,35.96,47000,0
69,2016,14.25,20.91,12000,0
71,2011,4.5,12.48,45000,0
75,2015,3.95,6.8,36000,0
76,2013,5.5,14.68,72000,0
77,2004,1.5,12.35,135154,0
80,2016,14.73,14.89,23000,0
81,2015,4.75,7.85,40000,0
84,2005,3.49,13.46,197176,0
86,2010,35.0,92.6,78000,0
87,2012,5.9,13.74,56000,0
90,2009,3.8,18.61,62000,0
92,2005,3.51,13.7,75000,0
93,2015,23.0,30.61,40000,0
95,2012,5.85,18.61,72000,0
102,2017,1.65,1.78,4000,0
103,2017,1.45,1.6,1200,0
104,2017,1.35,1.47,4100,0
107,2013,1.25,1.5,15000,0
115,2015,1.11,1.47,17500,0
127,2016,0.75,0.8,7000,0
132,2017,0.75,0.95,3500,0
138,2016,0.6,0.87,15000,0
139,2015,0.6,0.95,16600,0
143,2016,0.6,0.84,25000,0
150,2011,0.5,0.826,6000,0
154,2014,0.5,0.88,8000,0
164,2016,0.45,0.54,14000,0
171,2015,0.4,0.55,6700,0
177,2016,0.35,0.57,24000,0
178,2014,0.35,0.52,19000,0
190,2008,0.2,0.75,60000,0
193,2013,0.2,0.65,24000,1
195,2015,0.18,0.32,35000,0
199,2007,0.12,0.58,53000,0
201,2010,3.25,6.79,58000,1
208,2017,7.9,8.1,3435,0
211,2015,11.75,14.79,43535,0
212,2016,11.25,13.6,22671,0
214,2017,5.25,5.7,20114,0
221,2013,4.5,6.79,32000,0
225,2011,2.7,4.6,22517,0
232,2015,11.45,14.79,12900,0
234,2015,5.5,5.7,4492,0
235,2017,9.1,9.4,15141,0
238,2013,4.8,9.4,60241,0
240,2012,5.35,9.4,32322,0
248,2013,4.0,4.6,30000,0
249,2016,5.25,7.6,17000,0
251,2013,5.0,9.9,56701,0
256,2016,10.25,13.6,49562,0
257,2015,8.5,13.6,40324,0
258,2015,8.4,13.6,25000,0
259,2014,3.9,7.0,36054,0
261,2016,5.5,5.97,5600,0
263,2016,6.6,7.7,16002,0
271,2009,3.0,10.0,69562,0
277,2015,9.7,13.6,21780,0
278,2016,6.0,8.4,4000,0
284,2013,3.5,5.9,9800,0
288,2015,8.4,13.6,34000,0
291,2015,5.4,6.1,31427,0
293,2010,3.25,9.9,38000,0
297,2015,4.0,5.9,60000,0
