Zone,Total Wet Waste Sent to Plants by Zone,Total Mixed Waste Sent to Landfill/MSGP,Total Waste from the Zone,Segregation %,PoS Transactions,PoS Collection Amount,Zone Performance Score,Zone Performance Rank,Month
Bommanahalli,5486,4216,57,469,179460,1,2.0112,1,1
Yelahanka,2672,3134,46,437,161625,1,1.8901,2,1
Dasarahalli,1525,2312,40,130,24600,1,1.7622,2,1
Mahadevapura,4337,7420,37,431,173435,1,1.6768,4,1
R.R.Nagar,2717,5027,35,340,137150,1,1.5597,5,1
East,7618,16857,31,776,217957,1,1.4291,6,1
West,6910,16152,30,386,116450,1,1.4211,7,1
South,5852,18735,24,635,324584,1,1.3288,8,1
,,,,,,,,,
January Total,37120,73856,33,3604,1335262,1,,,1
,,,,,,,,,
Bommanahalli,5084,3375,60,415,153297,2,2.0811,1,2
Yelahanka,2466,2956,45,180,72675,2,1.9592,2,2
Mahadevapura,4407,6541,40,251,91279,2,1.7997,3,2
Dasarahalli,1315,1996,40,63,20600,2,1.7660,4,2
R.R.Nagar,2656,4547,37,124,56600,2,1.5865,5,2
East,7251,15136,32,404,121100,2,1.4791,6,2
west,6114,14781,29,208,49300,2,1.3947,7,2
South,4922,17340,22,353,173207,2,1.2348,8,2
,,,,,,,,,
February Total,34220,66676,34,1998,738059,2,,,2
