,Present_Price
1,9.54
2,9.85
3,4.15
4,6.87
6,8.12
7,8.61
8,8.89
9,8.92
10,3.6
11,10.38
12,9.94
14,7.21
15,10.79
16,10.79
18,5.09
19,7.98
20,3.95
21,5.71
23,3.46
24,4.41
25,4.99
26,5.87
27,6.49
28,3.95
29,10.38
31,4.89
32,7.49
33,9.95
34,8.06
35,7.74
36,7.2
37,2.28
39,7.98
40,7.87
41,3.98
43,8.06
45,12.04
48,7.71
50,30.61
51,30.61
53,30.61
54,10.21
55,15.04
57,18.54
58,6.8
60,18.61
61,7.7
62,35.96
63,35.96
65,6.95
66,23.15
67,20.45
68,13.74
69,20.91
70,6.76
71,12.48
72,18.61
75,6.8
79,30.61
80,14.89
82,25.39
83,13.46
85,23.73
87,13.74
88,6.05
89,6.76
92,13.7
95,18.61
96,25.39
97,18.64
98,18.61
99,20.45
100,1.9
103,1.6
104,1.47
105,2.37
108,1.5
109,1.47
110,1.78
111,1.5
112,2.4
113,1.4
114,1.47
115,1.47
116,1.47
117,1.9
118,1.47
119,1.9
120,1.26
121,1.5
122,1.17
124,1.75
125,1.75
126,0.95
127,0.8
129,0.84
131,0.82
132,0.95
133,0.95
134,0.81
135,0.74
136,1.2
137,0.787
138,0.87
139,0.95
141,0.8
143,0.84
146,0.787
147,0.84
148,0.94
149,0.94
150,0.826
151,0.55
154,0.88
155,0.51
157,0.84
158,0.54
159,0.51
160,0.95
161,0.826
162,0.99
163,0.95
164,0.54
165,0.54
169,0.54
170,0.83
171,0.55
172,0.64
173,0.51
174,0.72
176,1.05
177,0.57
178,0.52
179,1.05
180,0.51
181,0.48
182,0.58
183,0.47
184,0.75
185,0.58
187,0.51
188,0.57
189,0.57
191,0.57
192,0.75
193,0.65
194,0.787
195,0.32
196,0.52
197,0.51
199,0.58
200,0.75
201,6.79
202,5.7
203,4.6
204,4.43
206,7.13
209,5.7
210,4.6
211,14.79
213,6.79
214,5.7
215,9.4
216,4.43
217,4.43
218,9.4
219,9.4
220,4.43
221,6.79
223,9.4
225,4.6
227,4.43
229,6.79
230,9.4
234,5.7
236,4.43
237,13.6
239,4.43
241,7.13
242,7.13
243,7.6
244,9.4
246,6.79
248,4.6
249,7.6
250,13.6
252,6.82
253,9.9
254,9.9
255,5.35
256,13.6
258,13.6
259,7.0
261,5.97
262,5.8
264,7.0
265,8.7
266,7.0
267,9.4
268,5.8
271,10.0
272,10.0
273,7.5
274,6.8
276,13.6
277,13.6
278,8.4
279,13.6
280,5.9
281,7.6
282,14.0
283,11.8
284,5.9
286,7.9
287,7.5
288,13.6
291,6.1
292,8.4
293,9.9
294,6.8
295,13.09
296,11.6
298,11.0
299,12.5
300,5.9
