Year,Present_Price,Kms_Driven,Owner
2011,4.15,5200,0
2014,6.87,42450,0
2018,9.83,2071,0
2016,3.95,25000,0
2011,8.01,50000,0
2017,6.49,16200,0
2015,10.38,45000,0
2014,7.49,39000,0
2014,8.06,45000,0
2015,7.2,48767,0
2003,7.98,62000,0
2014,12.04,15000,0
2013,4.89,64532,0
2015,30.61,40000,0
2013,18.61,40001,0
2014,35.96,78000,0
2014,6.95,45000,0
2017,23.15,11000,0
2011,12.48,45000,0
2014,8.93,83000,0
2013,14.68,72000,0
2016,14.89,23000,0
2015,13.46,38000,0
2013,6.05,47000,0
2009,18.61,62000,0
2013,18.61,45000,0
2010,20.45,50024,0
2016,1.9,3000,0
2015,2.37,21700,0
2016,1.78,6000,0
2016,1.4,35000,0
2015,1.47,26000,0
2009,1.75,40000,0
2017,0.87,3000,0
2015,0.82,18000,0
2016,0.95,500,0
2014,1.2,23500,0
2016,0.87,15000,0
2013,1.2,32000,0
2016,0.8,20000,0
2015,0.84,58000,0
2016,0.55,31000,0
2012,0.99,13000,0
2017,0.52,15000,0
2015,0.84,23000,0
2012,0.99,14500,0
2012,0.83,5500,0
2015,0.55,6700,0
2008,0.75,26000,1
2008,0.58,1900,0
2010,0.52,22000,0
2013,0.51,32000,0
2012,0.57,25000,1
2015,0.32,35000,0
2008,0.52,500000,0
2015,4.43,28282,0
2017,8.1,3435,0
2015,14.79,43535,0
2016,13.6,22671,0
2012,9.4,36100,0
2014,9.4,45078,0
2014,7.6,77632,0
2015,5.7,24678,0
2011,4.43,57000,0
2012,6.79,52132,0
2013,9.4,45000,0
2013,5.7,53000,0
2017,9.4,15141,0
2014,7.13,34000,0
2012,9.4,71000,0
2013,4.6,30000,0
2016,13.6,35934,0
2015,6.82,31427,0
2014,9.9,48000,0
2014,7.0,36054,0
2016,5.97,5600,0
2017,5.8,19000,0
2009,10.0,69562,0
2016,8.4,4000,0
2013,5.9,9800,0
2015,13.6,34000,0
2016,8.4,12000,0
2015,5.9,60000,0
2017,12.5,9000,0
2016,5.9,5464,0
