Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
5,5.0,3.6,1.4,0.2
21,5.4,3.4,1.7,0.2
24,5.1,3.3,1.7,0.5
28,5.2,3.5,1.5,0.2
33,5.2,4.1,1.5,0.1
39,4.4,3.0,1.3,0.2
69,6.2,2.2,4.5,1.5
77,6.8,2.8,4.8,1.4
83,5.8,2.7,3.9,1.2
85,5.4,3.0,4.5,1.5
86,6.0,3.4,4.5,1.6
94,5.0,2.3,3.3,1.0
99,5.1,2.5,3.0,1.1
102,5.8,2.7,5.1,1.9
104,6.3,2.9,5.6,1.8
105,6.5,3.0,5.8,2.2
113,6.8,3.0,5.5,2.1
116,6.4,3.2,5.3,2.3
119,7.7,2.6,6.9,2.3
120,6.0,2.2,5.0,1.5
131,7.4,2.8,6.1,1.9
133,6.4,2.8,5.6,2.2
137,6.3,3.4,5.6,2.4
138,6.4,3.1,5.5,1.8
