,Year,Selling_Price,Present_Price,Kms_Driven,Owner
2,2017,7.25,9.85,6900,0
5,2018,9.25,9.83,2071,0
6,2015,6.75,8.12,18796,0
13,2015,6.1,7.71,26000,0
14,2009,2.25,7.21,77427,0
15,2016,7.75,10.79,43000,0
16,2015,7.25,10.79,41678,0
17,2016,7.75,10.79,43000,0
18,2015,3.25,5.09,35500,0
22,2011,4.4,8.01,50000,0
25,2011,3.0,4.99,20000,0
33,2014,6.0,9.95,45000,0
35,2011,2.95,7.74,49998,0
38,2016,3.0,3.76,10079,0
49,2017,7.75,9.29,37000,0
55,2009,3.6,15.04,70000,0
61,2015,4.5,7.7,40588,0
63,2015,23.5,35.96,47000,0
68,2011,4.35,13.74,88000,0
70,2014,3.95,6.76,71000,0
71,2011,4.5,12.48,45000,0
76,2013,5.5,14.68,72000,0
82,2017,23.0,25.39,15000,0
85,2006,2.5,23.73,142000,3
86,2010,35.0,92.6,78000,0
89,2014,4.75,6.76,40000,0
92,2005,3.51,13.7,75000,0
97,2017,17.0,18.64,8700,0
100,2016,1.75,1.9,3000,0
103,2017,1.45,1.6,1200,0
113,2016,1.15,1.4,35000,0
119,2013,1.05,1.9,5400,0
120,2016,1.05,1.26,5700,0
128,2017,0.8,0.87,3000,0
129,2017,0.78,0.84,5000,0
131,2015,0.75,0.82,18000,0
132,2017,0.75,0.95,3500,0
133,2016,0.72,0.95,500,0
134,2017,0.65,0.81,11800,0
136,2014,0.65,1.2,23500,0
138,2016,0.6,0.87,15000,0
142,2015,0.6,0.84,29000,0
146,2014,0.55,0.787,15000,0
156,2017,0.48,0.52,15000,0
160,2011,0.45,0.95,24000,0
164,2016,0.45,0.54,14000,0
177,2016,0.35,0.57,24000,0
186,2010,0.25,0.52,22000,0
192,2007,0.2,0.75,49000,1
205,2016,5.25,5.7,3493,1
206,2017,5.75,7.13,12479,0
207,2015,5.15,5.7,34797,0
216,2016,2.9,4.43,12500,0
218,2014,6.45,9.4,45078,0
222,2014,6.0,7.6,77632,0
226,2015,5.25,5.7,24678,0
230,2013,6.15,9.4,45000,0
231,2017,9.25,9.4,15001,0
232,2015,11.45,14.79,12900,0
247,2015,5.95,9.4,36000,0
259,2014,3.9,7.0,36054,0
268,2017,4.8,5.8,19000,0
272,2015,7.5,10.0,27600,0
276,2015,8.65,13.6,24800,0
285,2016,7.4,8.5,15059,0
288,2015,8.4,13.6,34000,0
289,2016,10.11,13.6,10980,0
291,2015,5.4,6.1,31427,0
295,2015,8.55,13.09,60076,0
298,2009,3.35,11.0,87934,0
