Present_Price,Kms_Driven,Owner
9.85,6900,0
6.87,42450,0
8.12,18796,0
10.79,41678,0
5.09,35500,0
5.71,2400,0
4.41,56879,0
5.87,55138,0
6.49,16200,0
3.95,44542,0
8.06,45000,0
7.87,24524,0
12.04,15000,0
4.89,64532,0
7.71,25870,0
19.77,15000,0
15.04,70000,0
6.8,39485,1
35.96,41000,0
6.95,45000,0
8.93,83000,0
12.35,135154,0
22.83,80000,0
92.6,78000,0
13.74,56000,0
6.05,47000,0
18.61,62000,0
18.64,8700,0
1.9,3000,0
1.5,15000,0
1.5,8700,0
1.4,35000,0
1.26,5700,0
1.17,6000,0
1.75,11500,0
1.75,40000,0
1.2,32000,0
0.84,58000,0
0.826,6000,0
0.95,24000,0
0.81,42000,0
0.73,12000,0
0.51,1300,0
0.72,38600,0
1.05,30000,0
1.05,213000,0
0.48,50000,0
0.58,1900,0
0.57,18000,0
0.75,60000,0
0.52,500000,0
6.79,58000,1
5.7,28200,0
4.6,53460,0
7.13,12479,0
4.6,35775,0
13.6,22671,0
9.4,36100,0
4.43,38488,0
6.79,32000,0
7.6,77632,0
5.7,53000,0
9.4,71000,0
6.79,35000,0
5.8,40023,0
7.0,40026,0
5.8,19000,0
14.0,63000,0
13.6,34000,0
6.4,19000,0
8.4,12000,0
13.09,60076,0
5.9,60000,0
11.0,87934,0
