Present_Price,Kms_Driven,Owner
5.59,27000,0
9.54,43000,0
4.15,5200,0
9.83,2071,0
8.61,33429,0
8.89,20273,0
8.92,42367,0
3.6,2135,0
10.38,51000,0
9.94,15000,0
7.71,26000,0
7.21,77427,0
10.79,43000,0
10.79,43000,0
7.98,41442,0
3.95,25000,0
8.01,50000,0
3.46,45280,0
4.99,20000,0
10.38,45000,0
5.98,51439,0
4.89,54200,0
7.49,39000,0
9.95,45000,0
7.74,49998,0
7.2,48767,0
2.28,127000,0
3.76,10079,0
7.98,62000,0
3.98,46706,0
7.15,58000,0
8.06,45780,0
2.69,50000,0
4.15,65000,0
9.29,37000,0
30.61,104707,0
30.61,40000,0
30.61,135000,0
10.21,90000,0
7.27,40534,0
18.54,50000,0
18.61,40001,0
7.7,40588,0
35.96,78000,0
35.96,47000,0
36.23,6000,0
23.15,11000,0
20.45,59000,0
13.74,88000,0
20.91,12000,0
6.76,71000,0
12.48,45000,0
18.61,56001,0
5.71,43000,0
6.8,36000,0
14.68,72000,0
30.61,89000,0
14.89,23000,0
7.85,40000,0
25.39,15000,0
13.46,38000,0
13.46,197176,0
23.73,142000,3
6.76,40000,0
16.09,58242,0
13.7,75000,0
30.61,40000,0
22.78,89000,0
18.61,72000,0
25.39,29000,0
18.61,45000,0
20.45,50024,0
1.82,1400,0
1.78,4000,0
1.6,1200,0
1.47,4100,0
2.37,21700,0
3.45,16500,1
1.5,18000,0
1.47,11000,0
1.78,6000,0
2.4,7000,0
1.47,17000,0
1.47,17500,0
1.47,33000,0
1.9,14000,0
1.47,26000,0
1.9,5400,0
1.5,6900,0
1.47,46500,0
0.95,1300,0
0.8,7000,0
0.87,3000,0
0.84,5000,0
0.87,11000,0
0.82,18000,0
0.95,3500,0
0.95,500,0
0.81,11800,0
0.74,5000,0
1.2,23500,0
0.787,16000,0
0.87,15000,0
0.95,16600,0
0.8,20000,0
0.84,29000,0
0.84,25000,0
0.99,25000,0
0.81,19000,0
0.787,15000,0
0.94,45000,0
0.94,24000,0
0.55,31000,0
0.99,13000,0
0.99,45000,0
0.88,8000,0
0.51,4300,0
0.52,15000,0
0.84,23000,0
0.54,8600,0
0.51,4000,0
0.826,23000,0
0.99,14500,0
0.95,27000,0
0.54,14000,0
0.54,500,0
0.55,1000,0
0.54,14000,0
0.83,5500,0
0.55,6700,0
0.64,13700,0
0.787,75000,0
0.57,24000,0
0.52,19000,0
0.51,60000,0
0.58,30000,0
0.47,21000,0
0.75,26000,1
0.52,22000,0
0.51,32000,0
0.57,55000,0
0.57,25000,1
0.75,49000,1
0.65,24000,1
0.787,50000,0
0.32,35000,0
0.51,33000,0
0.57,35000,1
0.58,53000,0
0.75,92233,0
4.43,28282,0
5.7,3493,1
5.7,34797,0
8.1,3435,0
5.7,21125,0
14.79,43535,0
6.79,31604,0
5.7,20114,0
4.43,12500,0
4.43,15000,0
9.4,45078,0
9.4,36000,0
9.4,61381,0
9.4,36198,0
4.6,22517,0
5.7,24678,0
4.43,57000,0
9.4,60000,0
6.79,52132,0
9.4,45000,0
9.4,15001,0
14.79,12900,0
5.7,4492,0
9.4,15141,0
4.43,11849,0
13.6,68000,0
9.4,60241,0
4.43,23709,0
9.4,32322,0
7.13,35866,1
7.13,34000,0
7.6,7000,0
9.4,49000,0
9.4,36000,0
4.6,30000,0
7.6,17000,0
13.6,35934,0
9.9,56701,0
6.82,31427,0
9.9,48000,0
9.9,54242,0
5.35,53675,0
13.6,49562,0
13.6,40324,0
13.6,25000,0
7.0,36054,0
13.6,29223,0
5.97,5600,0
7.7,16002,0
8.7,21200,0
7.0,35000,0
9.4,19434,0
10.0,18828,0
10.0,69341,0
10.0,69562,0
10.0,27600,0
7.5,61203,0
6.8,16500,0
13.6,30753,0
13.6,24800,0
13.6,21780,0
8.4,4000,0
13.6,40126,0
5.9,14465,0
7.6,50456,0
11.8,9010,0
5.9,9800,0
8.5,15059,0
7.9,28569,0
7.5,44000,0
13.6,10980,0
6.1,31427,0
9.9,38000,0
6.8,33019,0
11.6,33988,0
12.5,9000,0
5.9,5464,0
