Year,Present_Price,Kms_Driven,Owner,Fuel_Type,Seller_Type,Transmission
2013,9.54,43000,0,1,0,1
2018,9.83,2071,0,1,0,1
2015,8.92,42367,0,1,0,1
2017,3.6,2135,0,2,0,1
2015,10.38,51000,0,1,0,1
2015,7.71,26000,0,2,0,1
2015,5.09,35500,0,0,0,1
2010,7.98,41442,0,2,0,1
2016,3.95,25000,0,2,0,1
2013,5.87,55138,0,2,0,1
2017,6.49,16200,0,2,1,1
2014,9.95,45000,0,1,0,1
2014,8.06,45000,0,1,0,1
2011,7.74,49998,0,0,0,1
2015,7.2,48767,0,2,0,1
2014,3.98,46706,0,2,0,1
2008,7.15,58000,0,2,0,1
2014,12.04,15000,0,2,0,0
2015,7.71,25870,0,2,0,1
2017,9.29,37000,0,2,0,0
2009,15.04,70000,0,2,0,0
2015,35.96,47000,0,1,0,0
2017,23.15,11000,0,2,0,0
2016,20.91,12000,0,2,0,1
2014,6.76,71000,0,1,0,1
2011,12.48,45000,0,1,0,1
2013,14.68,72000,0,2,0,1
2017,25.39,15000,0,1,0,0
2015,13.46,38000,0,1,0,1
2012,13.74,56000,0,2,0,1
2008,22.78,89000,0,2,0,0
2017,1.82,1400,0,2,1,1
2017,1.6,1200,0,2,1,1
2014,3.45,16500,1,2,1,1
2016,1.5,8700,0,2,1,1
2015,1.47,17000,0,2,1,1
2015,1.9,14000,0,2,1,1
2013,1.9,5400,0,2,1,1
2012,1.75,11500,0,2,1,1
2017,0.95,1300,0,2,1,1
2016,0.8,7000,0,2,1,1
2017,0.84,5000,0,2,1,1
2017,0.95,3500,0,2,1,1
2016,0.95,500,0,2,1,1
2013,0.787,16000,0,2,1,1
2015,0.95,16600,0,2,1,1
2016,0.55,31000,0,2,1,1
2017,0.54,8600,0,2,1,1
2017,0.51,4000,0,2,1,0
2012,0.99,14500,0,2,1,1
2014,0.81,42000,0,2,1,1
2013,0.73,12000,0,2,1,1
2016,0.48,50000,0,2,1,1
2013,0.58,30000,0,2,1,1
2008,0.75,26000,1,2,1,1
2013,0.57,18000,0,2,1,1
2013,0.65,24000,1,2,1,1
2011,4.6,53460,0,2,0,1
2015,5.7,34797,0,2,0,0
2015,5.7,21125,0,1,0,1
2015,14.79,43535,0,1,0,1
2016,13.6,22671,0,2,0,1
2016,4.43,15000,0,2,0,1
2014,9.4,45078,0,2,0,1
2012,9.4,36000,0,2,0,1
2014,7.6,77632,0,1,0,1
2015,5.7,24678,0,2,0,1
2015,5.7,4492,0,2,0,1
2015,13.6,68000,0,1,0,1
2012,4.43,23709,0,2,0,1
2015,13.6,40324,0,2,0,1
2015,13.6,25000,0,2,0,1
2015,7.0,40026,0,2,0,1
2017,8.7,21200,0,2,0,1
2014,7.0,35000,0,2,0,1
2009,10.0,69562,0,2,0,1
2015,10.0,27600,0,2,0,1
2014,6.8,16500,0,2,0,1
2015,13.6,21780,0,2,0,1
2014,13.6,40126,0,2,0,1
2015,5.9,14465,0,2,0,1
2016,7.9,28569,0,2,0,1
2015,7.5,44000,0,2,0,0
2015,6.1,31427,0,2,0,1
2016,8.4,12000,0,2,0,1
2015,13.09,60076,0,1,0,1
2016,5.9,5464,0,2,0,1
