Year,Present_Price,Kms_Driven,Owner,Seller_Type_Dealer,Seller_Type_Individual
2015,8.12,0.036628628628628625,0,1,0
2015,8.61,0.06592392392392392,0,1,0
2017,3.6,0.003273273273273273,0,1,0
2011,8.01,0.09909909909909909,0,1,0
2014,3.46,0.08964964964964964,0,1,0
2013,5.87,0.10938538538538538,0,1,0
2014,8.06,0.08908908908908908,0,1,0
2015,7.2,0.09663063063063061,0,1,0
2003,2.28,0.25325325325325326,0,0,1
2012,2.69,0.09909909909909909,0,1,0
2006,4.15,0.1291291291291291,0,1,0
2013,30.61,0.26926926926926925,0,0,1
2009,15.04,0.1391391391391391,0,1,0
2014,6.8,0.07804804804804803,1,1,0
2014,35.96,0.08108108108108107,0,1,0
2015,7.7,0.08025625625625625,0,1,0
2017,36.23,0.011011011011011011,0,1,0
2011,13.74,0.17517517517517517,0,1,0
2011,12.48,0.08908908908908908,0,1,0
2014,8.93,0.16516516516516516,0,1,0
2004,12.35,0.2695775775775776,0,1,0
2005,13.46,0.3937457457457457,0,1,0
2010,92.6,0.15515515515515513,0,1,0
2014,16.09,0.11559959959959959,0,1,0
2005,13.7,0.14914914914914915,0,1,0
2016,1.9,0.005005005005005005,0,0,1
2017,1.82,0.0018018018018018016,0,0,1
2015,2.37,0.04244244244244244,0,0,1
2017,1.47,0.02102102102102102,0,0,1
2016,1.4,0.06906906906906905,0,0,1
2015,1.47,0.03303303303303303,0,0,1
2013,1.9,0.009809809809809809,0,0,1
2016,1.17,0.011011011011011011,0,0,1
2012,1.75,0.02202202202202202,0,0,1
2017,0.95,0.0016016016016016012,0,0,1
2017,0.87,0.005005005005005005,0,0,1
2017,0.84,0.009009009009009009,0,0,1
2016,0.95,0.0,0,0,1
2014,1.2,0.04604604604604604,0,0,1
2013,0.787,0.031031031031031032,0,0,1
2016,0.87,0.029029029029029027,0,0,1
2014,0.787,0.029029029029029027,0,0,1
2016,0.94,0.04704704704704705,0,0,1
2012,0.99,0.025025025025025023,0,0,1
2013,0.99,0.08908908908908908,0,0,1
2014,0.826,0.04504504504504504,0,0,1
2012,0.99,0.028028028028028028,0,0,1
2014,0.81,0.08308308308308307,0,0,1
2008,0.75,0.05105105105105105,1,0,1
2005,0.57,0.10910910910910909,0,0,1
2013,0.65,0.04704704704704705,1,0,1
2008,0.787,0.09909909909909909,0,0,1
2006,0.75,0.18364964964964964,0,0,1
2015,4.43,0.055619619619619615,0,1,0
2017,7.13,0.02398198198198198,0,1,0
2015,5.7,0.06866266266266265,0,1,0
2017,8.1,0.005875875875875875,0,1,0
2015,5.7,0.04129129129129129,0,1,0
2012,4.6,0.0706206206206206,0,1,0
2015,14.79,0.08615615615615614,0,1,0
2011,6.79,0.062270270270270274,0,1,0
2012,9.4,0.07127127127127127,0,1,0
2013,9.4,0.07146746746746746,0,1,0
2013,5.7,0.1051051051051051,0,1,0
2012,9.4,0.14114114114114112,0,1,0
2015,9.4,0.07107107107107107,0,1,0
2013,9.9,0.1125145145145145,0,1,0
2013,9.9,0.10759159159159158,0,1,0
2016,9.4,0.0379059059059059,0,1,0
2017,5.8,0.037037037037037035,0,1,0
2015,10.0,0.05425425425425425,0,1,0
2010,7.5,0.12152752752752752,0,1,0
2016,8.4,0.007007007007007007,0,1,0
2014,13.6,0.07933133133133131,0,1,0
2014,14.0,0.1251251251251251,0,1,0
2016,11.8,0.017037037037037038,0,1,0
2016,7.9,0.05619419419419419,0,1,0
2016,8.4,0.023023023023023025,0,1,0
2014,6.8,0.06510310310310309,0,1,0
2015,13.09,0.11927127127127125,0,1,0
