,Present_Price
1,9.54
6,8.12
18,5.09
22,8.01
25,4.99
37,2.28
39,7.98
40,7.87
43,8.06
47,4.15
50,30.61
51,30.61
53,30.61
63,35.96
77,12.35
81,7.85
82,25.39
85,23.73
86,92.6
88,6.05
89,6.76
92,13.7
99,20.45
104,1.47
114,1.47
122,1.17
126,0.95
128,0.87
136,1.2
139,0.95
147,0.84
154,0.88
156,0.52
157,0.84
159,0.51
164,0.54
165,0.54
166,0.55
167,0.81
170,0.83
172,0.64
176,1.05
177,0.57
178,0.52
179,1.05
191,0.57
194,0.787
197,0.51
198,0.57
201,6.79
203,4.6
214,5.7
224,9.4
230,9.4
233,5.7
238,9.4
241,7.13
244,9.4
245,9.4
246,6.79
247,9.4
259,7.0
279,13.6
288,13.6
292,8.4
297,5.9
