animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
10,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
17,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
21,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0
27,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0
43,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
46,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
52,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1
54,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
68,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
73,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
86,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1
