Year,Present_Price,Kms_Driven,Owner,Transmission
2014,5.59,27000,0,1
2017,9.85,6900,0,1
2011,4.15,5200,0,1
2015,8.12,18796,0,1
2016,8.89,20273,0,1
2015,7.71,26000,0,1
2009,7.21,77427,0,1
2016,10.79,43000,0,1
2015,10.79,41678,0,1
2016,10.79,43000,0,1
2010,7.98,41442,0,1
2016,3.95,25000,0,1
2017,5.71,2400,0,1
2011,4.99,20000,0,1
2014,7.49,39000,0,1
2014,9.95,45000,0,1
2016,7.87,24524,0,0
2014,3.98,46706,0,1
2013,4.89,64532,0,1
2015,7.71,25870,0,1
2012,30.61,104707,0,0
2017,36.23,6000,0,0
2010,20.45,59000,0,1
2015,13.46,38000,0,1
2010,92.6,78000,0,1
2009,18.61,62000,0,1
2008,22.78,89000,0,0
2012,18.61,72000,0,1
2017,18.64,8700,0,1
2017,1.82,1400,0,1
2017,1.47,4100,0,1
2016,1.4,35000,0,1
2015,1.47,17500,0,1
2013,1.47,33000,0,1
2017,0.95,1300,0,1
2017,0.87,3000,0,1
2017,0.95,3500,0,1
2017,0.81,11800,0,1
2014,1.2,23500,0,1
2015,0.84,29000,0,1
2012,0.81,19000,0,1
2017,0.51,4300,0,0
2017,0.54,8600,0,1
2011,0.95,24000,0,1
2016,0.54,500,0,0
2015,0.54,14000,0,1
2015,0.55,6700,0,1
2017,0.51,1300,0,0
2011,1.05,30000,0,1
2013,0.58,30000,0,1
2013,0.47,21000,0,1
2013,0.51,32000,0,1
2005,0.57,55000,0,1
2008,0.787,50000,0,1
2015,4.43,28282,0,1
2015,5.7,21125,0,1
2015,14.79,43535,0,1
2012,9.4,36100,0,1
2016,4.43,12500,0,1
2012,9.4,60000,0,1
2012,6.79,52132,0,1
2016,4.43,11849,0,1
2016,7.6,7000,0,1
2012,9.4,71000,0,1
2015,9.4,36000,0,1
2013,4.6,30000,0,1
2016,7.6,17000,0,1
2015,13.6,40324,0,1
2015,10.0,18828,0,1
2015,10.0,27600,0,1
2010,7.5,61203,0,1
2016,13.6,30753,0,0
2015,13.6,21780,0,1
2016,8.5,15059,0,0
2014,6.4,19000,0,1
2015,6.1,31427,0,1
2016,11.6,33988,0,1
2015,5.9,60000,0,1
2017,12.5,9000,0,1
2016,5.9,5464,0,1
