Year,Present_Price,Kms_Driven,Owner,Transmission
2013,9.54,43000,0,1
2014,6.87,42450,0,1
2018,9.83,2071,0,1
2015,8.61,33429,0,1
2015,8.92,42367,0,1
2017,3.6,2135,0,1
2015,10.38,51000,0,1
2015,9.94,15000,0,0
2015,5.09,35500,0,1
2011,8.01,50000,0,0
2014,3.46,45280,0,1
2013,4.41,56879,0,1
2013,5.87,55138,0,1
2017,6.49,16200,0,1
2010,3.95,44542,0,1
2015,10.38,45000,0,1
2012,5.98,51439,0,1
2011,4.89,54200,0,1
2014,8.06,45000,0,1
2011,7.74,49998,0,1
2015,7.2,48767,0,1
2003,2.28,127000,0,1
2016,3.76,10079,0,1
2003,7.98,62000,0,1
2008,7.15,58000,0,1
2014,8.06,45780,0,1
2012,2.69,50000,0,1
2014,12.04,15000,0,0
2006,4.15,65000,0,1
2017,9.29,37000,0,0
2015,30.61,40000,0,0
2017,19.77,15000,0,0
2013,30.61,135000,0,0
2005,10.21,90000,0,1
2009,15.04,70000,0,0
2015,7.27,40534,0,1
2010,18.54,50000,0,1
2014,6.8,39485,1,1
2014,35.96,41000,0,0
2013,18.61,40001,0,1
2015,7.7,40588,0,1
2014,35.96,78000,0,0
2015,35.96,47000,0,0
2014,6.95,45000,0,1
2017,23.15,11000,0,0
2011,13.74,88000,0,1
2016,20.91,12000,0,1
2014,6.76,71000,0,1
2011,12.48,45000,0,1
2013,18.61,56001,0,1
2011,5.71,43000,0,1
2014,8.93,83000,0,1
2015,6.8,36000,0,1
2013,14.68,72000,0,1
2004,12.35,135154,0,0
2010,22.83,80000,0,0
2012,30.61,89000,0,0
2016,14.89,23000,0,1
2015,7.85,40000,0,1
2017,25.39,15000,0,0
2005,13.46,197176,0,1
2006,23.73,142000,3,0
2012,13.74,56000,0,1
2013,6.05,47000,0,1
2014,6.76,40000,0,1
2014,16.09,58242,0,1
2005,13.7,75000,0,1
2015,30.61,40000,0,0
2016,25.39,29000,0,0
2013,18.61,45000,0,1
2010,20.45,50024,0,1
2016,1.9,3000,0,1
2017,1.78,4000,0,1
2017,1.6,1200,0,1
2015,2.37,21700,0,1
2014,3.45,16500,1,1
2013,1.5,15000,0,1
2016,1.5,18000,0,1
2017,1.47,11000,0,1
2016,1.78,6000,0,1
2016,1.5,8700,0,1
2014,2.4,7000,0,1
2015,1.47,17000,0,1
2015,1.9,14000,0,1
2015,1.47,26000,0,1
2013,1.9,5400,0,1
2016,1.26,5700,0,1
2011,1.5,6900,0,1
2016,1.17,6000,0,1
2013,1.47,46500,0,1
2012,1.75,11500,0,1
2009,1.75,40000,0,1
2016,0.8,7000,0,1
2017,0.84,5000,0,1
2017,0.87,11000,0,1
2015,0.82,18000,0,1
2016,0.95,500,0,1
2015,0.74,5000,0,1
2013,0.787,16000,0,1
2016,0.87,15000,0,1
2015,0.95,16600,0,1
2013,1.2,32000,0,1
2016,0.8,20000,0,1
2016,0.84,25000,0,1
2014,0.99,25000,0,1
2014,0.787,15000,0,1
2015,0.84,58000,0,1
2010,0.94,45000,0,1
2016,0.94,24000,0,1
2011,0.826,6000,0,1
2016,0.55,31000,0,1
2012,0.99,13000,0,1
2013,0.99,45000,0,1
2014,0.88,8000,0,1
2017,0.52,15000,0,1
2015,0.84,23000,0,1
2017,0.51,4000,0,0
2014,0.826,23000,0,1
2012,0.99,14500,0,1
2010,0.95,27000,0,1
2016,0.54,14000,0,1
2016,0.55,1000,0,1
2014,0.81,42000,0,1
2013,0.73,12000,0,1
2012,0.83,5500,0,1
2014,0.64,13700,0,1
2015,0.72,38600,0,1
2011,0.787,75000,0,1
2016,0.57,24000,0,0
2014,0.52,19000,0,0
2010,1.05,213000,0,1
2012,0.51,60000,0,1
2016,0.48,50000,0,1
2008,0.75,26000,1,1
2008,0.58,1900,0,0
2010,0.52,22000,0,0
2013,0.57,18000,0,1
2008,0.75,60000,0,1
2012,0.57,25000,1,1
2007,0.75,49000,1,1
2013,0.65,24000,1,1
2015,0.32,35000,0,1
2008,0.52,500000,0,0
2010,0.51,33000,0,1
2011,0.57,35000,1,1
2007,0.58,53000,0,1
2006,0.75,92233,0,1
2010,6.79,58000,1,1
2015,5.7,28200,0,1
2011,4.6,53460,0,1
2016,5.7,3493,1,1
2017,7.13,12479,0,1
2015,5.7,34797,0,0
2017,8.1,3435,0,1
2012,4.6,35775,0,1
2016,13.6,22671,0,1
2011,6.79,31604,0,1
2017,5.7,20114,0,1
2016,4.43,15000,0,1
2014,9.4,45078,0,1
2012,9.4,36000,0,1
2017,4.43,38488,0,1
2013,6.79,32000,0,0
2014,7.6,77632,0,1
2015,9.4,61381,0,1
2013,9.4,36198,0,0
2011,4.6,22517,0,1
2015,5.7,24678,0,1
2011,4.43,57000,0,1
2013,9.4,45000,0,1
2017,9.4,15001,0,1
2015,14.79,12900,0,0
2013,5.7,53000,0,1
2015,5.7,4492,0,1
2017,9.4,15141,0,1
2015,13.6,68000,0,1
2013,9.4,60241,0,1
2012,4.43,23709,0,1
2012,9.4,32322,0,1
2015,7.13,35866,1,1
2014,7.13,34000,0,1
2013,9.4,49000,0,1
2012,6.79,35000,0,1
2016,13.6,35934,0,1
2013,9.9,56701,0,1
2015,6.82,31427,0,0
2014,9.9,48000,0,1
2013,9.9,54242,0,1
2012,5.35,53675,0,1
2016,13.6,49562,0,1
2015,13.6,25000,0,1
2014,7.0,36054,0,1
2016,13.6,29223,0,1
2016,5.97,5600,0,1
2015,5.8,40023,0,1
2016,7.7,16002,0,1
2015,7.0,40026,0,1
2017,8.7,21200,0,1
2014,7.0,35000,0,1
2016,9.4,19434,0,1
2017,5.8,19000,0,1
2011,10.0,69341,0,1
2009,10.0,69562,0,1
2014,6.8,16500,0,1
2015,13.6,24800,0,1
2016,8.4,4000,0,1
2014,13.6,40126,0,1
2015,5.9,14465,0,1
2006,7.6,50456,0,1
