duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents
24,4870,3,4,53,2,2
24,2835,3,4,53,1,1
30,5234,4,2,28,2,1
15,1403,2,4,28,1,1
24,2424,4,4,53,2,1
24,12579,4,2,44,1,1
18,1913,3,3,36,1,1
12,1158,3,1,26,1,1
11,1393,4,4,35,2,1
6,1352,1,2,23,1,1
11,7228,1,4,39,2,1
12,1262,3,2,25,1,1
12,6468,2,1,52,1,1
18,1961,3,2,23,1,1
9,1391,2,1,27,1,1
24,3181,4,4,26,1,1
12,2171,2,2,29,1,1
36,8133,1,2,30,1,1
42,5954,2,1,41,2,1
42,3965,4,3,34,1,1
54,9436,2,2,39,1,2
24,5943,1,1,44,2,1
18,2249,4,3,30,1,2
12,1108,4,3,28,2,1
12,1409,4,3,54,1,1
36,2337,4,4,36,1,1
9,1919,4,3,35,1,1
15,392,4,4,23,1,1
18,6260,3,3,28,1,1
36,7855,4,2,25,2,1
12,1680,3,1,35,1,1
21,1835,3,2,25,2,1
12,2121,4,2,30,2,1
12,701,4,2,40,1,1
12,1240,4,2,38,2,1
12,766,4,3,66,1,1
15,2728,4,2,35,3,1
6,709,2,2,27,1,1
36,4795,4,1,30,1,1
18,2462,2,2,22,1,1
12,682,4,3,51,2,1
36,5371,3,2,28,2,1
6,1346,2,4,42,1,2
36,5848,4,1,24,1,1
24,3512,2,3,38,2,1
24,2064,3,2,34,1,1
6,338,4,4,52,2,1
21,571,4,4,65,2,1
24,3777,4,4,50,1,1
15,1360,4,2,31,2,1
12,674,4,1,20,1,1
48,3844,4,4,34,1,2
12,951,4,4,27,4,1
12,1168,4,3,27,1,1
27,5117,3,4,26,2,1
12,1495,4,1,38,2,2
24,6568,2,2,21,1,1
36,3913,2,2,23,1,1
12,1200,4,4,23,1,1
12,707,4,2,30,2,1
18,866,4,2,25,1,1
21,2767,4,2,61,2,1
24,915,4,2,29,1,1
6,1595,3,2,51,1,2
12,1185,3,2,27,2,1
18,433,3,4,22,1,1
24,1603,4,4,55,1,1
14,8978,1,4,45,1,1
15,3368,3,4,23,2,1
18,1445,4,4,49,1,1
12,4675,1,4,20,1,1
10,1287,4,2,45,1,1
21,2745,3,2,32,2,1
12,727,4,3,33,1,1
8,1237,3,4,24,1,1
12,708,2,3,38,1,2
15,3643,1,4,27,2,1
18,1028,4,3,36,2,1
12,5801,2,4,49,1,1
36,4473,4,2,31,1,1
24,6615,2,4,75,2,1
24,5743,2,4,24,2,1
13,882,4,4,23,2,1
36,3446,4,2,42,1,2
18,6070,3,4,33,2,1
12,1330,4,1,26,1,1
18,2238,2,1,25,2,1
12,1223,1,1,46,2,1
24,2197,4,4,43,2,2
12,2292,4,2,42,2,1
36,5842,2,2,35,2,2
12,2579,4,1,33,1,2
18,8471,1,2,23,2,1
15,3186,2,3,20,1,1
12,958,2,3,47,2,2
12,2762,1,2,25,1,1
18,2779,1,3,21,1,1
24,11328,2,3,29,2,1
6,1872,4,4,36,3,1
9,2136,3,2,25,1,1
42,3394,4,4,65,2,1
12,1884,4,4,39,1,1
15,1512,3,3,61,2,1
12,2759,2,4,34,2,1
24,4817,2,3,31,1,1
12,3017,3,1,34,1,1
48,7238,3,3,32,2,2
6,1238,4,4,36,1,2
39,2569,4,4,24,1,1
15,1478,4,4,44,2,2
24,1585,4,3,40,2,1
24,3123,4,1,27,1,1
24,1207,4,4,24,1,1
12,759,4,2,26,1,1
36,4686,2,2,32,1,1
15,2687,2,4,26,1,1
6,1361,2,4,40,1,2
6,1203,3,2,43,1,1
48,7119,3,4,53,2,2
4,1503,2,1,42,2,2
36,2273,3,1,32,2,2
24,3105,4,2,25,2,1
21,2319,2,1,33,1,1
48,6999,1,1,34,2,1
9,1199,4,4,67,2,1
21,5003,1,4,29,2,1
24,3552,3,4,27,1,1
24,1546,4,4,24,1,1
24,4712,4,2,37,2,1
24,2578,2,2,34,1,1
15,806,4,4,22,1,1
36,2820,4,4,27,2,1
18,1056,3,3,30,2,1
36,2384,4,1,33,1,1
9,2799,2,2,36,2,2
18,1217,4,3,47,1,1
12,2246,3,3,60,2,1
24,1965,4,4,42,2,1
21,1572,4,4,36,1,1
36,3349,4,2,28,1,1
10,1275,4,2,23,1,1
24,4526,3,2,74,1,1
36,2671,4,4,50,1,1
10,1240,1,4,48,1,2
24,3632,1,4,22,1,1
48,12204,2,2,48,1,1
30,3441,2,4,21,1,1
18,2600,4,4,65,2,1
9,3832,1,4,64,1,1
24,1355,3,4,25,1,1
