Year,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol
2014,5.59,0.05305305305305305,0,0,0,1
2013,9.54,0.08508508508508507,0,0,1,0
2017,9.85,0.012812812812812812,0,0,0,1
2011,4.15,0.009409409409409408,0,0,0,1
2014,6.87,0.08398398398398398,0,0,1,0
2018,9.83,0.0031451451451451453,0,0,1,0
2015,8.12,0.036628628628628625,0,0,0,1
2015,8.61,0.06592392392392392,0,0,1,0
2016,8.89,0.039585585585585586,0,0,1,0
2015,8.92,0.0838178178178178,0,0,1,0
2017,3.6,0.003273273273273273,0,0,0,1
2015,9.94,0.029029029029029027,0,0,0,1
2015,7.71,0.05105105105105105,0,0,0,1
2016,10.79,0.08508508508508507,0,0,1,0
2015,10.79,0.08243843843843843,0,0,1,0
2015,5.09,0.07007007007007006,0,1,0,0
2016,3.95,0.04904904904904905,0,0,0,1
2017,5.71,0.0038038038038038036,0,0,0,1
2011,8.01,0.09909909909909909,0,0,0,1
2014,3.46,0.08964964964964964,0,0,0,1
2013,4.41,0.11287087087087086,0,0,0,1
2017,6.49,0.03143143143143143,0,0,0,1
2010,3.95,0.08817217217217216,0,0,0,1
2015,10.38,0.08908908908908908,0,0,1,0
2011,4.89,0.1075075075075075,0,0,0,1
2014,9.95,0.08908908908908908,0,0,1,0
2011,7.74,0.09909509509509508,0,1,0,0
2015,7.2,0.09663063063063061,0,0,0,1
2016,3.76,0.01917717717717718,0,0,0,1
2003,7.98,0.12312312312312311,0,0,0,1
2016,7.87,0.048096096096096094,0,0,0,1
2014,3.98,0.0925045045045045,0,0,0,1
2008,7.15,0.1151151151151151,0,0,0,1
2012,2.69,0.09909909909909909,0,0,0,1
2014,12.04,0.029029029029029027,0,0,0,1
2013,4.89,0.1281921921921922,0,0,0,1
2006,4.15,0.1291291291291291,0,0,0,1
2015,7.71,0.05079079079079079,0,0,0,1
2017,9.29,0.07307307307307306,0,0,0,1
2012,30.61,0.2086226226226226,0,0,1,0
2015,30.61,0.07907907907907907,0,0,1,0
2017,19.77,0.029029029029029027,0,0,1,0
2013,30.61,0.26926926926926925,0,0,1,0
2009,15.04,0.1391391391391391,0,0,0,1
2015,7.27,0.08014814814814814,0,0,0,1
2014,6.8,0.07804804804804803,1,0,0,1
2013,18.61,0.07908108108108107,0,0,0,1
2015,7.7,0.08025625625625625,0,0,0,1
2015,35.96,0.09309309309309308,0,0,1,0
2017,36.23,0.011011011011011011,0,0,1,0
2014,6.95,0.08908908908908908,0,0,1,0
2017,23.15,0.02102102102102102,0,0,0,1
