Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
2017,9.85,-0.7726822769134832,2,0,1
2015,8.12,-0.4667693620068284,2,0,1
2015,8.92,0.13937331765564318,1,0,1
2015,9.94,-0.564385823421225,2,0,0
2015,7.71,-0.28151409645642983,2,0,1
2016,3.95,-0.30722970799868393,2,0,1
2011,8.01,0.3356605805576688,2,0,0
2014,3.46,0.2142828940782294,2,0,1
2012,5.98,0.37266534556697245,1,0,1
2008,7.15,0.5413854728957016,2,0,1
2014,12.04,-0.564385823421225,2,0,0
2013,4.89,0.7093598474897055,2,0,1
2017,9.29,0.0013576305083653755,2,0,0
2015,30.61,0.0785044651351277,1,0,0
2005,10.21,1.3642850422478332,2,1,1
2015,7.27,0.0922366016986914,2,0,1
2015,35.96,0.2585137459309065,1,0,0
2014,6.95,0.20708252284639825,1,0,1
2013,18.61,0.4899799654227357,2,0,1
2013,14.68,0.9014040344872591,2,0,1
2005,13.46,4.12038142490046,1,0,1
2017,1.47,-0.8446859892317948,2,1,1
2017,1.47,-0.6672482695902414,2,1,1
2016,1.5,-0.7263941761374259,2,1,1
2015,1.47,-0.28151409645642983,2,1,1
2013,1.47,0.2456559401597794,2,1,1
2015,0.82,-0.4872389887944627,2,1,1
2017,0.81,-0.6466757803564381,2,1,1
2014,1.2,-0.3458031253120651,2,1,1
2013,0.787,-0.5386702118789709,2,1,1
2015,0.95,-0.5232408449536184,2,1,1
2015,0.84,-0.2043672618296675,2,1,1
2014,0.787,-0.564385823421225,2,1,1
2015,0.84,0.5413854728957016,2,1,1
2010,0.94,0.20708252284639825,2,1,1
2016,0.55,-0.15293603874515926,2,1,1
2017,0.51,-0.839542866923344,2,1,0
2017,0.52,-0.564385823421225,2,1,1
2016,0.54,-0.5901014349634791,2,1,1
2016,0.54,-0.9372621907839096,2,1,0
2011,0.787,0.9785508691140214,2,1,1
2011,1.05,-0.1786516502874134,2,1,1
2016,0.57,-0.33294531954093803,2,1,0
2008,0.75,-0.28151409645642983,2,1,1
2008,0.787,0.3356605805576688,2,1,1
2015,0.32,-0.05007359257614284,2,1,1
2010,0.51,-0.10150481566065106,2,1,1
2006,0.75,1.4217080028216866,2,1,1
2017,7.13,-0.6292148801192476,2,0,1
2011,6.79,-0.1374038093736378,2,0,1
2014,7.6,1.0462343586932343,1,0,1
2015,5.7,-0.31551013491528973,2,0,1
2013,5.7,0.4128074151844311,1,0,1
2016,4.43,-0.6454157153908677,2,0,1
2015,13.6,0.7985415883182427,1,0,1
2012,4.43,-0.34042856249973397,2,0,1
2013,4.6,-0.1786516502874134,2,0,1
2015,6.82,-0.14195547261661676,2,0,0
2014,9.9,0.2842293574731606,1,0,1
2012,5.35,0.4301654529754526,2,0,1
2014,7.0,-0.02296933801060701,2,0,1
2015,5.8,0.07909592420059955,2,0,1
2014,7.0,-0.05007359257614284,2,0,1
2011,10.0,0.8330262233964055,2,0,1
2016,13.6,-0.15928779479609603,2,0,0
2016,11.8,-0.7184223365593271,2,0,1
2015,7.5,0.18136691130414415,2,0,0
2015,13.6,-0.07578920411839694,2,0,1
2015,6.1,-0.14195547261661676,2,0,1
