Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
2014,5.59,-0.25579848491417573,2,0,1
2013,9.54,0.15565129976189002,1,0,1
2011,4.15,-0.8163988165353153,2,0,1
2014,6.87,0.14150771341365026,1,0,1
2018,9.83,-0.8968629650510284,1,0,1
2015,8.61,-0.09047281830902404,1,0,1
2016,8.89,-0.4287874037589191,1,0,1
2017,3.6,-0.8952171659123241,2,0,1
2015,10.38,0.3613761920999229,1,0,1
2009,7.21,1.0409626583270721,2,0,1
2016,10.79,0.15565129976189002,1,0,1
2015,10.79,0.12165526130303009,1,0,1
2016,10.79,0.15565129976189002,1,0,1
2015,5.09,-0.037215786805015784,0,0,1
2010,7.98,0.11558637697905813,2,0,1
2017,5.71,-0.8884025288536268,2,0,1
2013,4.41,0.5125582723568348,2,0,1
2011,4.99,-0.43580776570995444,2,0,1
2013,5.87,0.4677873926617704,2,0,1
2017,6.49,-0.5335270895705201,2,1,1
2010,3.95,0.19530477276004585,2,0,1
2015,10.38,0.20708252284639825,1,0,1
2011,4.89,0.443666149035136,2,0,1
2014,7.49,0.052788853592873594,1,0,1
2014,9.95,0.20708252284639825,1,0,1
2014,8.06,0.20708252284639825,1,0,1
2011,7.74,0.3356091493345843,0,0,1
2015,7.2,0.30395323152606946,2,0,1
2003,2.28,2.315762669311235,2,1,1
2016,3.76,-0.6909323478206575,2,0,1
2003,7.98,0.6442479190647181,2,0,1
2016,7.87,-0.3194703390927969,2,0,0
2014,3.98,0.25095335613748376,2,0,1
2014,8.06,0.22714069984935645,1,0,1
2012,2.69,0.3356605805576688,2,0,1
2006,4.15,0.7213947536914804,2,0,1
2015,7.71,-0.28485712595692286,2,0,1
2012,30.61,1.7424845411997643,1,0,0
2017,19.77,-0.564385823421225,1,0,0
2013,30.61,2.521487561649268,1,1,0
2009,15.04,0.8499728114027509,2,0,0
2010,18.54,0.3356605805576688,2,0,1
2014,6.8,0.06526092519086683,2,0,1
2014,35.96,0.10422007667738181,1,0,0
2013,18.61,0.07853018074666995,2,0,1
2015,7.7,0.09362524472197312,2,0,1
2014,35.96,1.0556977037407838,1,0,0
2017,36.23,-0.7958263273015119,1,0,0
2017,23.15,-0.6672482695902414,2,0,0
2010,20.45,0.5671010844379557,1,0,1
2011,13.74,1.312853819163325,2,0,1
2016,20.91,-0.6415326580479873,2,0,1
2014,6.76,0.875688422945005,1,0,1
2011,12.48,0.20708252284639825,1,0,1
2011,5.71,0.15565129976189002,2,0,1
2014,8.93,1.1842757614520543,1,0,1
2015,6.8,-0.024357981033888733,2,0,1
2004,12.35,2.525447765826775,2,0,0
2010,22.83,1.107128926825292,2,0,0
2012,30.61,1.338569430705579,1,0,0
2016,14.89,-0.35866093108319214,1,0,1
2015,7.85,0.0785044651351277,1,0,1
2017,25.39,-0.564385823421225,1,0,0
2015,13.46,0.027073242050619485,1,0,1
2006,23.73,2.7014968424450467,2,1,0
2010,92.6,1.0556977037407838,1,0,1
2012,13.74,0.48995424981119345,2,0,1
2013,6.05,0.2585137459309065,2,0,1
2014,6.76,0.0785044651351277,2,0,1
2009,18.61,0.6442479190647181,2,0,1
2014,16.09,0.5476086508889272,1,0,1
2005,13.7,0.9785508691140214,2,0,1
2015,30.61,0.0785044651351277,1,0,0
2008,22.78,1.338569430705579,2,0,0
2012,18.61,0.9014040344872591,2,0,1
2016,25.39,-0.2043672618296675,1,0,0
2017,18.64,-0.7263941761374259,2,0,1
2013,18.61,0.20708252284639825,2,0,1
2010,20.45,0.3362777552346829,1,0,1
2016,1.9,-0.8729731619282743,2,1,1
2017,1.82,-0.9141181403958809,2,1,1
2017,1.78,-0.8472575503860202,2,1,1
2017,1.6,-0.9192612627043317,2,1,1
2015,2.37,-0.39209122608812247,2,1,1
2014,3.45,-0.5258124061078439,2,1,1
2013,1.5,-0.564385823421225,2,1,1
2016,1.5,-0.4872389887944627,2,1,1
2016,1.78,-0.7958263273015119,2,1,1
2014,2.4,-0.7701107157592578,2,1,1
2016,1.4,-0.05007359257614284,2,1,1
2015,1.47,-0.5129546003367168,2,1,1
2015,1.47,-0.5000967945655898,2,1,1
2013,1.47,-0.10150481566065106,2,1,1
2015,1.9,-0.5901014349634791,2,1,1
2013,1.9,-0.8112556942268645,2,1,1
2016,1.26,-0.8035410107641882,2,1,1
2011,1.5,-0.7726822769134832,2,1,1
2016,1.17,-0.7958263273015119,2,1,1
2012,1.75,-0.6543904638191144,2,1,1
2009,1.75,0.0785044651351277,2,1,1
2017,0.95,-0.9166897015501063,2,1,1
2016,0.8,-0.7701107157592578,2,1,1
2017,0.87,-0.8729731619282743,2,1,1
2017,0.84,-0.8215419388437661,2,1,1
2017,0.87,-0.6672482695902414,2,1,1
2017,0.95,-0.8601153561571473,2,1,1
2016,0.95,-0.9372621907839096,2,1,1
2015,0.74,-0.8215419388437661,2,1,1
2016,0.87,-0.564385823421225,2,1,1
2013,1.2,-0.12722042720290516,2,1,1
2016,0.8,-0.43580776570995444,2,1,1
2016,0.84,-0.30722970799868393,2,1,1
2014,0.99,-0.30722970799868393,2,1,1
2012,0.81,-0.4615233772522086,2,1,1
2016,0.94,-0.33294531954093803,2,1,1
2011,0.826,-0.7958263273015119,2,1,1
2012,0.99,-0.6158170465057332,2,1,1
2013,0.99,0.20708252284639825,2,1,1
2014,0.88,-0.7443951042170037,2,1,1
2015,0.84,-0.35866093108319214,2,1,1
2017,0.54,-0.7289657372916513,2,1,1
2017,0.51,-0.8472575503860202,2,1,0
2011,0.95,-0.33294531954093803,2,1,1
2014,0.826,-0.35866093108319214,2,1,1
2012,0.99,-0.5772436291923521,2,1,1
