Year,Present_Price,Kms_Driven,Owner,Transmission_Automatic,Transmission_Manual
2009,7.21,0.15400800800800798,0,0,1
2017,5.71,0.0038038038038038036,0,0,1
2015,10.38,0.08908908908908908,0,0,1
2012,5.98,0.10197997997997997,0,0,1
2014,9.95,0.08908908908908908,0,0,1
2011,7.74,0.09909509509509508,0,0,1
2016,7.87,0.048096096096096094,0,1,0
2012,2.69,0.09909909909909909,0,0,1
2017,9.29,0.07307307307307306,0,1,0
2013,18.61,0.07908108108108107,0,0,1
2015,7.7,0.08025625625625625,0,0,1
2015,35.96,0.09309309309309308,0,1,0
2010,20.45,0.1171171171171171,0,0,1
2016,20.91,0.023023023023023025,0,0,1
2004,12.35,0.2695775775775776,0,1,0
2016,14.89,0.04504504504504504,0,0,1
2005,13.46,0.3937457457457457,0,0,1
2012,13.74,0.1111111111111111,0,0,1
2013,6.05,0.09309309309309308,0,0,1
2014,16.09,0.11559959959959959,0,0,1
2017,18.64,0.01641641641641642,0,0,1
2013,1.5,0.029029029029029027,0,0,1
2016,1.5,0.035035035035035036,0,0,1
2017,1.47,0.02102102102102102,0,0,1
2016,1.78,0.011011011011011011,0,0,1
2016,1.4,0.06906906906906905,0,0,1
2015,1.47,0.03303303303303303,0,0,1
2012,1.75,0.02202202202202202,0,0,1
2016,0.8,0.013013013013013013,0,0,1
2017,0.87,0.02102102102102102,0,0,1
2015,0.82,0.035035035035035036,0,0,1
2013,0.99,0.08908908908908908,0,0,1
2015,0.84,0.04504504504504504,0,0,1
2017,0.54,0.016216216216216217,0,0,1
2016,0.54,0.02702702702702703,0,0,1
2016,0.55,0.001001001001001001,0,0,1
2016,0.57,0.04704704704704705,0,1,0
2010,1.05,0.42542542542542544,0,0,1
2013,0.58,0.05905905905905906,0,0,1
2013,0.51,0.06306306306306306,0,0,1
2013,0.57,0.035035035035035036,0,0,1
2007,0.75,0.09709709709709709,1,0,1
2008,0.787,0.09909909909909909,0,0,1
2006,0.75,0.18364964964964964,0,0,1
2010,6.79,0.1151151151151151,1,0,1
2011,4.6,0.10602602602602601,0,0,1
2012,9.4,0.07127127127127127,0,0,1
2012,9.4,0.07107107107107107,0,0,1
2017,4.43,0.07605205205205204,0,0,1
2015,9.4,0.12188388388388387,0,0,1
2012,6.79,0.10336736736736736,0,0,1
2015,14.79,0.024824824824824822,0,1,0
2015,5.7,0.00799199199199199,0,0,1
2017,9.4,0.02931131131131131,0,0,1
2016,4.43,0.02272072072072072,0,0,1
2013,9.4,0.11960160160160159,0,0,1
2012,9.4,0.0637077077077077,0,0,1
2013,9.4,0.09709709709709709,0,0,1
2014,9.9,0.09509509509509509,0,0,1
2013,9.9,0.10759159159159158,0,0,1
2012,5.35,0.10645645645645645,0,0,1
2010,7.5,0.12152752752752752,0,0,1
2014,6.8,0.03203203203203203,0,0,1
2014,14.0,0.1251251251251251,0,0,1
2013,5.9,0.018618618618618618,0,0,1
2017,12.5,0.017017017017017015,0,0,1
