Kms_Driven,Owner
18796,0
33429,0
2135,0
15000,0
77427,0
41678,0
43000,0
45280,0
20000,0
45000,0
54200,0
39000,0
58000,0
50000,0
37000,0
15000,0
40588,0
47000,0
6000,0
45000,0
88000,0
72000,0
40000,0
197176,0
8700,0
17000,0
26000,0
5000,0
16000,0
29000,0
19000,0
31000,0
8000,0
4300,0
8600,0
23000,0
5500,0
30000,0
213000,0
1900,0
25000,1
35000,1
53460,0
12479,0
34797,0
36100,0
61381,0
36198,0
60000,0
11849,0
49000,0
36000,0
35934,0
56701,0
31427,0
54242,0
53675,0
40324,0
25000,0
36054,0
5600,0
35000,0
19000,0
69562,0
4000,0
40126,0
9010,0
9800,0
44000,0
34000,0
10980,0
