Kms_Driven,Owner
27000,0
43000,0
6900,0
5200,0
42450,0
2071,0
20273,0
42367,0
51000,0
26000,0
43000,0
35500,0
41442,0
25000,0
2400,0
50000,0
56879,0
55138,0
16200,0
44542,0
51439,0
45000,0
45000,0
49998,0
48767,0
127000,0
10079,0
62000,0
24524,0
46706,0
45780,0
15000,0
64532,0
65000,0
25870,0
104707,0
40000,0
135000,0
90000,0
70000,0
40534,0
50000,0
39485,1
41000,0
40001,0
78000,0
11000,0
59000,0
12000,0
71000,0
45000,0
56001,0
43000,0
83000,0
36000,0
135154,0
80000,0
89000,0
23000,0
15000,0
38000,0
142000,3
78000,0
56000,0
47000,0
40000,0
62000,0
58242,0
75000,0
40000,0
89000,0
72000,0
29000,0
45000,0
50024,0
3000,0
1400,0
4000,0
1200,0
4100,0
21700,0
16500,1
15000,0
18000,0
11000,0
6000,0
8700,0
7000,0
35000,0
17500,0
33000,0
14000,0
5400,0
5700,0
6900,0
6000,0
46500,0
11500,0
40000,0
1300,0
7000,0
3000,0
5000,0
11000,0
18000,0
3500,0
500,0
11800,0
23500,0
15000,0
16600,0
32000,0
20000,0
25000,0
25000,0
15000,0
58000,0
45000,0
24000,0
6000,0
13000,0
45000,0
15000,0
23000,0
4000,0
24000,0
14500,0
27000,0
14000,0
500,0
1000,0
42000,0
12000,0
14000,0
6700,0
13700,0
1300,0
38600,0
75000,0
24000,0
19000,0
60000,0
50000,0
30000,0
21000,0
26000,1
22000,0
32000,0
18000,0
55000,0
60000,0
49000,1
24000,1
50000,0
35000,0
500000,0
33000,0
53000,0
92233,0
58000,1
28200,0
28282,0
3493,1
3435,0
21125,0
35775,0
43535,0
22671,0
31604,0
20114,0
12500,0
15000,0
45078,0
36000,0
38488,0
32000,0
77632,0
22517,0
24678,0
57000,0
52132,0
45000,0
15001,0
12900,0
53000,0
4492,0
15141,0
68000,0
60241,0
23709,0
32322,0
35866,1
34000,0
7000,0
71000,0
35000,0
30000,0
17000,0
48000,0
49562,0
29223,0
40023,0
16002,0
40026,0
21200,0
19434,0
18828,0
69341,0
27600,0
61203,0
16500,0
30753,0
24800,0
21780,0
14465,0
50456,0
63000,0
15059,0
28569,0
19000,0
31427,0
12000,0
38000,0
33019,0
60076,0
33988,0
60000,0
87934,0
9000,0
5464,0
