Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,5.1,3.5,1.4,0.2
3,4.7,3.2,1.3,0.2
4,4.6,3.1,1.5,0.2
5,5.0,3.6,1.4,0.2
6,5.4,3.9,1.7,0.4
7,4.6,3.4,1.4,0.3
9,4.4,2.9,1.4,0.2
10,4.9,3.1,1.5,0.1
12,4.8,3.4,1.6,0.2
13,4.8,3.0,1.4,0.1
14,4.3,3.0,1.1,0.1
15,5.8,4.0,1.2,0.2
17,5.4,3.9,1.3,0.4
18,5.1,3.5,1.4,0.3
20,5.1,3.8,1.5,0.3
22,5.1,3.7,1.5,0.4
23,4.6,3.6,1.0,0.2
27,5.0,3.4,1.6,0.4
28,5.2,3.5,1.5,0.2
31,4.8,3.1,1.6,0.2
32,5.4,3.4,1.5,0.4
33,5.2,4.1,1.5,0.1
34,5.5,4.2,1.4,0.2
35,4.9,3.1,1.5,0.1
37,5.5,3.5,1.3,0.2
39,4.4,3.0,1.3,0.2
40,5.1,3.4,1.5,0.2
42,4.5,2.3,1.3,0.3
43,4.4,3.2,1.3,0.2
44,5.0,3.5,1.6,0.6
45,5.1,3.8,1.9,0.4
47,5.1,3.8,1.6,0.2
48,4.6,3.2,1.4,0.2
50,5.0,3.3,1.4,0.2
52,6.4,3.2,4.5,1.5
54,5.5,2.3,4.0,1.3
55,6.5,2.8,4.6,1.5
57,6.3,3.3,4.7,1.6
58,4.9,2.4,3.3,1.0
59,6.6,2.9,4.6,1.3
61,5.0,2.0,3.5,1.0
64,6.1,2.9,4.7,1.4
65,5.6,2.9,3.6,1.3
67,5.6,3.0,4.5,1.5
69,6.2,2.2,4.5,1.5
70,5.6,2.5,3.9,1.1
71,5.9,3.2,4.8,1.8
72,6.1,2.8,4.0,1.3
74,6.1,2.8,4.7,1.2
75,6.4,2.9,4.3,1.3
77,6.8,2.8,4.8,1.4
78,6.7,3.0,5.0,1.7
79,6.0,2.9,4.5,1.5
80,5.7,2.6,3.5,1.0
81,5.5,2.4,3.8,1.1
83,5.8,2.7,3.9,1.2
84,6.0,2.7,5.1,1.6
85,5.4,3.0,4.5,1.5
86,6.0,3.4,4.5,1.6
87,6.7,3.1,4.7,1.5
88,6.3,2.3,4.4,1.3
89,5.6,3.0,4.1,1.3
90,5.5,2.5,4.0,1.3
91,5.5,2.6,4.4,1.2
92,6.1,3.0,4.6,1.4
95,5.6,2.7,4.2,1.3
97,5.7,2.9,4.2,1.3
98,6.2,2.9,4.3,1.3
99,5.1,2.5,3.0,1.1
101,6.3,3.3,6.0,2.5
102,5.8,2.7,5.1,1.9
103,7.1,3.0,5.9,2.1
105,6.5,3.0,5.8,2.2
106,7.6,3.0,6.6,2.1
107,4.9,2.5,4.5,1.7
108,7.3,2.9,6.3,1.8
109,6.7,2.5,5.8,1.8
110,7.2,3.6,6.1,2.5
111,6.5,3.2,5.1,2.0
113,6.8,3.0,5.5,2.1
114,5.7,2.5,5.0,2.0
115,5.8,2.8,5.1,2.4
116,6.4,3.2,5.3,2.3
117,6.5,3.0,5.5,1.8
118,7.7,3.8,6.7,2.2
119,7.7,2.6,6.9,2.3
120,6.0,2.2,5.0,1.5
125,6.7,3.3,5.7,2.1
126,7.2,3.2,6.0,1.8
128,6.1,3.0,4.9,1.8
129,6.4,2.8,5.6,2.1
132,7.9,3.8,6.4,2.0
135,6.1,2.6,5.6,1.4
137,6.3,3.4,5.6,2.4
139,6.0,3.0,4.8,1.8
141,6.7,3.1,5.6,2.4
142,6.9,3.1,5.1,2.3
144,6.8,3.2,5.9,2.3
145,6.7,3.3,5.7,2.5
146,6.7,3.0,5.2,2.3
150,5.9,3.0,5.1,1.8
